"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
176.00000,-6045.777347,-5264.096276,3655.686785,0.393595,-4.127302,2.648333
177.00000,-6007.373925,-5504.975289,3807.926224,0.886754,-3.898266,2.425802
178.00000,-5939.343790,-5731.414759,3946.761458,1.380767,-3.646061,2.201677
179.00000,-5841.708785,-5942.042431,4072.120222,1.873212,-3.371282,1.976771
180.00000,-5714.635111,-6135.524354,4183.980556,2.361662,-3.074649,1.751872
181.00000,-5558.435748,-6310.574672,4282.364692,2.843691,-2.757002,1.527737
182.00000,-5373.567586,-6465.960082,4367.341497,3.316892,-2.419301,1.305091
183.00000,-5160.632414,-6600.509940,4439.020253,3.778883,-2.062623,1.084625
184.00000,-4920.372692,-6713.119856,4497.552473,4.227320,-1.688155,0.866990
185.00000,-4653.671033,-6802.761862,4543.125792,4.659913,-1.297198,0.652799
186.00000,-4361.544767,-6868.487144,4575.965080,5.074431,-0.891152,0.442622
187.00000,-4045.143833,-6909.435973,4596.326646,5.468717,-0.471522,0.236988
188.00000,-3705.744254,-6924.839615,4604.498598,5.840698,-0.039902,0.036382
189.00000,-3344.744472,-6914.029700,4600.795534,6.188396,0.402023,-0.158757
190.00000,-2963.657858,-6876.439407,4585.558156,6.509936,0.852489,-0.348035
191.00000,-2564.107526,-6811.611898,4559.148563,6.803558,1.309657,-0.531102
192.00000,-2147.818011,-6719.200917,4521.949175,7.067625,1.771621,-0.707655
193.00000,-1716.608572,-6598.977563,4474.358778,7.300631,2.236419,-0.877434
194.00000,-1272.384624,-6450.832309,4416.790450,7.501212,2.702037,-1.040226
195.00000,-817.128855,-6274.776318,4349.669109,7.668149,3.166420,-1.195858
196.00000,-352.892815,-6070.946378,4273.428397,7.800377,3.627483,-1.344201
197.00000,118.212922,-5839.604709,4188.508603,7.896991,4.083116,-1.485166
198.00000,594.028395,-5581.140497,4095.354181,7.957252,4.531199,-1.618701
199.00000,1072.354306,-5296.070349,3994.411486,7.980590,4.969606,-1.744793
200.00000,1550.962338,-4985.037777,3886.126573,7.966608,5.396222,-1.863463
201.00000,2027.605528,-4648.814035,3770.943379,7.915086,5.808946,-1.974764
202.00000,2500.029109,-4288.293747,3649.301438,7.825980,6.205707,-2.078778
203.00000,2965.981045,-3904.496719,3521.634783,7.699428,6.584473,-2.175615
204.00000,3423.222960,-3498.562225,3388.369823,7.535746,6.943258,-2.265412
205.00000,3869.540863,-3071.747286,3249.924215,7.335430,7.280135,-2.348324
206.00000,4302.755880,-2625.422542,3106.705582,7.099152,7.593248,-2.424529
207.00000,4720.734877,-2161.067839,2959.110433,6.827762,7.880818,-2.494220
208.00000,5121.400915,-1680.267203,2807.523264,6.522281,8.141153,-2.557606
209.00000,5502.743487,-1184.703247,2652.315804,6.183899,8.372660,-2.614904
210.00000,5862.828488,-676.151017,2493.846428,5.813970,8.573853,-2.666342
211.00000,6199.807881,-156.471330,2332.459715,5.414006,8.743361,-2.712154
212.00000,6511.929044,372.396180,2168.486376,4.985673,8.879935,-2.752577
213.00000,6797.543321,908.441853,2002.242044,4.530777,8.982458,-2.787849
214.00000,7055.115147,1449.591642,1834.029551,4.051265,9.049951,-2.818206
215.00000,7283.229161,1993.718313,1664.136486,3.549209,9.081580,-2.843882
216.00000,7480.597978,2538.648837,1492.836717,3.026801,9.076659,-2.865104
217.00000,7646.069273,3082.173129,1320.391568,2.486340,9.034659,-2.882091
218.00000,7778.631375,3622.054756,1147.048597,1.930224,8.955209,-2.895055
219.00000,7877.419207,4156.039732,973.043353,1.360937,8.838101,-2.904194
220.00000,7941.719065,4681.866596,798.599810,0.781039,8.683294,-2.909694
221.00000,7970.972911,5197.276308,623.931495,0.193155,8.490915,-2.911729
222.00000,7964.781324,5700.022794,449.241085,-0.400042,8.261256,-2.910454
223.00000,7922.907114,6187.882312,274.723634,-0.995837,7.994783,-2.906010
224.00000,7845.276181,6658.664402,100.564935,-1.591491,7.692128,-2.898520
225.00000,7731.979900,7110.221311,-73.054591,-2.184249,7.354091,-2.888088
226.00000,7583.274199,7540.458531,-245.961876,-2.771359,6.981639,-2.874800
227.00000,7399.580673,7947.344258,-417.986640,-3.350080,6.575902,-2.858722
228.00000,7181.483818,8328.919258,-588.963887,-3.917695,6.138165,-2.839900
229.00000,6929.730856,8683.306302,-758.728835,-4.471529,5.669873,-2.818360
230.00000,6645.227214,9008.719045,-927.119756,-5.008955,5.172617,-2.794109
231.00000,6329.034975,9303.471353,-1093.972641,-5.527411,4.648135,-2.767135
232.00000,5982.366741,9565.984958,-1259.124211,-6.024410,4.098300,-2.737402
233.00000,5606.582721,9794.798536,-1422.406588,-6.497556,3.525117,-2.704862
234.00000,5203.183113,9988.573989,-1583.650288,-6.944547,2.930710,-2.669442
235.00000,4773.803795,10146.105079,-1742.679147,-7.363196,2.317322,-2.631056
236.00000,4320.207461,10266.322256,-1899.313146,-7.751434,1.687297,-2.589600
237.00000,3844.277931,10348.300624,-2053.363813,-8.107324,1.043078,-2.544955
238.00000,3348.010234,10391.263304,-2204.636755,-8.429069,0.387191,-2.496988
239.00000,2833.503595,10394.588472,-2352.927726,-8.715022,-0.277761,-2.445553
240.00000,2302.950690,10357.811324,-2498.024770,-8.963693,-0.949110,-2.390494
241.00000,1758.629389,10280.629873,-2639.705118,-9.173755,-1.624136,-2.331647
242.00000,1202.891432,10162.905675,-2777.736874,-9.344054,-2.300074,-2.268839
243.00000,638.152951,10004.667857,-2911.876985,-9.473614,-2.974130,-2.201893
244.00000,66.883121,9806.113586,-3041.871933,-9.561640,-3.643490,-2.130631
245.00000,-508.406653,9567.609427,-3167.457265,-9.607523,-4.305333,-2.054873
246.00000,-1085.174514,9289.690167,-3288.358285,-9.610847,-4.956845,-1.974442
247.00000,-1660.858953,8973.059986,-3404.289293,-9.571385,-5.595226,-1.889166
248.00000,-2232.890890,8618.589859,-3514.954613,-9.489109,-6.217708,-1.798880
249.00000,-2798.705267,8227.315721,-3620.048955,-9.364181,-6.821564,-1.703429
250.00000,-3355.752856,7800.435191,-3719.258183,-9.196963,-7.404118,-1.602671
251.00000,-3901.511569,7339.305760,-3812.259806,-8.988008,-7.962763,-1.496481
252.00000,-4433.498752,6845.437384,-3898.724611,-8.738063,-8.494967,-1.384749
253.00000,-4949.281905,6320.491202,-3978.317242,-8.448066,-8.998289,-1.267391
254.00000,-5446.490683,5766.269889,-4050.697953,-8.119137,-9.470385,-1.144341
255.00000,-5922.827251,5184.715793,-4115.523867,-7.752581,-9.909024,-1.015562
256.00000,-6376.077694,4577.898942,-4172.450620,-7.349880,-10.312097,-0.881044
257.00000,-6804.121853,3948.014502,-4221.134333,-6.912684,-10.677625,-0.740809
258.00000,-7204.943740,3297.370702,-4261.233281,-6.442807,-11.003772,-0.594911
259.00000,-7576.640935,2628.382189,-4292.410128,-5.942221,-11.288853,-0.443438
260.00000,-7917.433716,1943.558649,-4314.333565,-5.413041,-11.531341,-0.286514
261.00000,-8225.673619,1245.498687,-4326.681581,-4.857525,-11.729877,-0.124303
262.00000,-8499.851370,536.874748,-4329.142275,-4.278054,-11.883276,0.042996
263.00000,-8738.604407,-179.572877,-4321.417880,-3.677132,-11.990537,0.215141
264.00000,-8940.723373,-901.051247,-4303.225479,-3.057366,-12.050843,0.391851
265.00000,-9105.158446,-1624.722668,-4274.301083,-2.421458,-12.063572,0.572803
266.00000,-9231.024393,-2347.719032,-4234.400716,-1.772195,-12.028297,0.757635
267.00000,-9317.605325,-3067.152287,-4183.303619,-1.112433,-11.944791,0.945942
268.00000,-9364.358486,-3780.126885,-4120.814490,-0.445084,-11.813031,1.137280
269.00000,-9370.917282,-4483.752003,-4046.765873,0.226893,-11.633198,1.331166
270.00000,-9337.093535,-5175.153821,-3961.020480,0.900512,-11.405677,1.527078
271.00000,-9262.878899,-5851.487824,-3863.473446,1.572767,-11.131060,1.724458
272.00000,-9148.445465,-6509.951057,-3754.054488,2.240650,-10.810140,1.922711
273.00000,-8994.145523,-7147.794297,-3632.729954,2.901164,-10.443913,2.121210
274.00000,-8800.510511,-7762.334048,-3499.504749,3.551337,-10.033574,2.319299
275.00000,-8568.249287,-8350.964139,-3354.424553,4.188235,-9.580512,2.516288
276.00000,-8298.244753,-8911.168126,-3197.575727,4.808975,-9.086305,2.711468
277.00000,-7991.551490,-9440.529014,-3029.089736,5.410742,-8.552718,2.904102
278.00000,-7649.390140,-9936.741599,-2849.141181,5.990796,-7.981689,3.093435
279.00000,-7273.143605,-10397.621648,-2657.952065,6.546491,-7.375328,3.278695
280.00000,-6864.349852,-10821.116876,-2455.789389,7.075284,-6.735907,3.459097
281.00000,-6424.696757,-11205.315478,-2242.969324,7.574748,-6.065849,3.633847
282.00000,-5956.013314,-11548.455672,-2019.854038,8.042581,-5.367719,3.802145
283.00000,-5460.263288,-11848.933441,-1786.855671,8.476621,-4.644217,3.963189
284.00000,-4939.534988,-12105.310385,-1544.432563,8.874854,-3.898159,4.116177
285.00000,-4396.033772,-12316.320573,-1293.092818,9.235422,-3.132475,4.260314
286.00000,-3832.070672,-12480.876542,-1033.390114,9.556635,-2.350187,4.394815
287.00000,-3250.053819,-12598.075115,-765.926639,9.836974,-1.554405,4.518909
288.00000,-2652.476175,-12667.201460,-491.348683,10.075105,-0.748308,4.631841
289.00000,-2041.905995,-12687.733711,-210.348737,10.269879,0.064868,4.732878
290.00000,-1420.973941,-12659.345101,76.338938,10.420343,0.881841,4.821313
291.00000,-792.362556,-12581.907027,367.937470,10.525739,1.699302,4.896468
292.00000,-158.793819,-12455.490152,663.630295,10.585511,2.513925,4.957699
293.00000,476.983643,-12280.364169,962.564306,10.599309,3.322381,5.004397
294.00000,1112.205705,-12056.998749,1263.850070,10.566986,4.121357,5.035996
295.00000,1744.105902,-11786.061534,1566.565791,10.488605,4.907563,5.051973
296.00000,2369.927635,-11468.416318,1869.759712,10.364432,5.677752,5.051853
297.00000,2986.936548,-11105.120188,2172.453074,10.194942,6.428730,5.035212
298.00000,3592.432820,-10697.419846,2473.643277,9.980811,7.157374,5.001681
299.00000,4183.763287,-10246.747114,2772.307223,9.722917,7.860638,4.950945
300.00000,4758.333381,-9754.713658,3067.404844,9.422335,8.535575,4.882755
301.00000,5313.618808,-9223.104939,3357.882790,9.080331,9.179343,4.796919
302.00000,5847.177073,-8653.872926,3642.678498,8.698358,9.789219,4.693315
303.00000,6356.657835,-8049.130549,3920.723279,8.278051,10.362611,4.571885
304.00000,6839.814631,-7411.140117,4190.947985,7.821216,10.897069,4.432642
305.00000,7294.513817,-6742.308264,4452.285665,7.329823,11.390298,4.275673
306.00000,7718.745300,-6045.172666,4703.677237,6.806000,11.840162,4.101134
307.00000,8110.630569,-5322.396069,4944.074752,6.252021,12.244699,3.909257
308.00000,8468.432233,-4576.751312,5172.446882,5.670298,12.602129,3.700348
309.00000,8790.560923,-3811.114842,5387.782655,5.063366,12.910857,3.474792
310.00000,9075.583384,-3028.450490,5589.096594,4.433877,13.169487,3.233047
311.00000,9322.228230,-2231.802172,5775.432955,3.784585,13.376825,2.975648
312.00000,9529.392379,-1424.277087,5945.870378,3.118334,13.531883,2.703206
