"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
136.00000,-11032.721278,-23408.840015,-3098.463245,1.378192,5.262333,6.669974
137.00000,-10965.616313,-23092.981690,-2698.472973,0.859020,5.260513,6.660010
138.00000,-10929.583230,-22778.209016,-2299.616972,0.342911,5.226195,6.632191
139.00000,-10924.360931,-22466.464816,-1902.962219,-0.167571,5.159648,6.586663
140.00000,-10949.535731,-22159.670673,-1509.565172,-0.669892,5.061298,6.523657
141.00000,-11004.542460,-21859.718524,-1120.465003,-1.161556,4.931723,6.443488
142.00000,-11088.668226,-21568.460584,-736.680547,-1.640119,4.771651,6.346552
143.00000,-11201.054814,-21287.701365,-359.203362,-2.103201,4.581958,6.233326
144.00000,-11340.703841,-21019.188065,11.004917,-2.548496,4.363664,6.104362
145.00000,-11506.480868,-20764.602784,373.018744,-2.973785,4.117926,5.960291
146.00000,-11697.121207,-20525.554108,725.952341,-3.376946,3.846033,5.801812
147.00000,-11911.235997,-20303.569386,1068.964065,-3.755962,3.549402,5.629696
148.00000,-12147.318889,-20100.087374,1401.260410,-4.108935,3.229567,5.444777
149.00000,-12403.753340,-19916.451276,1722.099787,-4.434091,2.888178,5.247950
150.00000,-12678.820410,-19753.902262,2030.796041,-4.729792,2.526985,5.040166
151.00000,-12970.707120,-19613.573442,2326.721715,-4.994541,2.147837,4.822430
152.00000,-13277.515139,-19496.484431,2609.311018,-5.226992,1.752667,4.595792
153.00000,-13597.270009,-19403.536386,2878.062507,-5.425953,1.343488,4.361346
154.00000,-13927.930661,-19335.507660,3132.541453,-5.590394,0.922379,4.120222
155.00000,-14267.399341,-19293.049994,3372.381742,-5.719455,0.491479,3.873581
156.00000,-14613.531336,-19276.685610,3597.288318,-5.812442,0.052971,3.622609
157.00000,-14964.146255,-19286.804110,3807.036975,-5.868839,-0.390921,3.368515
158.00000,-15317.037350,-19323.661315,4001.477479,-5.888304,-0.837950,3.112519
159.00000,-15669.983359,-19387.377316,4180.532146,-5.870676,-1.285851,2.855851
160.00000,-16020.758130,-19477.936510,4344.198100,-5.815972,-1.732358,2.599744
161.00000,-16367.142452,-19595.187056,4492.545483,-5.724387,-2.175207,2.345427
162.00000,-16706.933684,-19738.842188,4625.718647,-5.596296,-2.612155,2.094118
163.00000,-17037.957427,-19908.481023,4743.934018,-5.432249,-3.040986,1.847023
164.00000,-17358.077198,-20103.551009,4847.480109,-5.232970,-3.459521,1.605323
165.00000,-17665.205239,-20323.370319,4936.715478,-4.999354,-3.865634,1.370175
166.00000,-17957.312293,-20567.131268,5012.067275,-4.732460,-4.257255,1.142703
167.00000,-18232.437885,-20833.903983,5074.028467,-4.433511,-4.632387,0.923992
168.00000,-18488.699213,-21122.641110,5123.156419,-4.103882,-4.989108,0.715087
169.00000,-18724.300535,-21432.182738,5160.069493,-3.745097,-5.325589,0.516983
170.00000,-18937.541915,-21761.261920,5185.444190,-3.358822,-5.640095,0.330620
171.00000,-19126.827254,-22108.510867,5200.011846,-2.946855,-5.930999,0.156885
172.00000,-19290.672182,-22472.467431,5204.555061,-2.511118,-6.196785,-0.003400
173.00000,-19427.711118,-22851.582197,5199.903884,-2.053648,-6.436059,-0.149476
174.00000,-19536.703924,-23244.225910,5186.931765,-1.576589,-6.647556,-0.280656
175.00000,-19616.542060,-23648.697263,5166.551132,-1.082177,-6.830142,-0.396323
176.00000,-19666.253397,-24063.231262,5139.709639,-0.572735,-6.982824,-0.495937
177.00000,-19685.007723,-24486.007461,5107.384515,-0.050657,-7.104752,-0.579035
178.00000,-19672.120400,-24915.158843,5070.578328,0.481601,-7.195224,-0.645236
179.00000,-19627.055294,-25348.780911,5030.314654,1.021534,-7.253690,-0.694239
180.00000,-19549.428147,-25784.940643,4987.632016,1.566599,-7.279753,-0.725829
181.00000,-19439.008135,-26221.685892,4943.579342,2.114226,-7.273172,-0.739874
182.00000,-19295.718516,-26657.054875,4899.211564,2.661836,-7.233865,-0.736328
183.00000,-19119.638034,-27089.085409,4855.583004,3.206846,-7.161905,-0.715229
184.00000,-18910.999556,-27515.824554,4813.743790,3.746688,-7.057523,-0.676702
185.00000,-18670.189927,-27935.337832,4774.733369,4.278814,-6.921107,-0.620958
186.00000,-18397.747185,-28345.718711,4739.576813,4.800718,-6.753197,-0.548287
187.00000,-18094.358946,-28745.097635,4709.278437,5.309938,-6.554488,-0.459066
188.00000,-17760.858227,-29131.651129,4684.818349,5.804076,-6.325820,-0.353751
189.00000,-17398.220394,-29503.610475,4667.146223,6.280803,-6.068178,-0.232875
190.00000,-17007.557463,-29859.270360,4657.178158,6.737876,-5.782687,-0.097048
191.00000,-16590.113959,-30196.996902,4655.790729,7.173144,-5.470607,0.053047
192.00000,-16147.259697,-30515.235713,4663.818218,7.584562,-5.133324,0.216659
193.00000,-15680.484461,-30812.519215,4682.047050,7.970199,-4.772346,0.392970
194.00000,-15191.389651,-31087.473837,4711.213454,8.328246,-4.389296,0.581100
195.00000,-14681.681859,-31338.826491,4751.998387,8.657029,-3.985902,0.780111
196.00000,-14153.163403,-31565.410843,4805.025683,8.955011,-3.563990,0.989014
197.00000,-13607.724914,-31766.172813,4870.857540,9.220806,-3.125476,1.206768
198.00000,-13047.335130,-31940.175715,4949.993216,9.453181,-2.672355,1.432293
199.00000,-12474.032506,-32086.604749,5042.865152,9.651063,-2.206694,1.664467
200.00000,-11889.914407,-32204.770915,5149.838241,9.813544,-1.730618,1.902137
201.00000,-11297.128112,-32294.114331,5271.206664,9.939888,-1.246303,2.144123
202.00000,-10697.859386,-32354.206948,5407.193755,10.029531,-0.755966,2.389222
203.00000,-10094.323104,-32384.754596,5557.949590,10.082084,-0.261851,2.636217
204.00000,-9488.751563,-32385.598395,5723.551468,10.097339,0.233778,2.883881
205.00000,-8883.384662,-32356.715537,5904.002433,10.075264,0.728651,3.130982
206.00000,-8280.458838,-32298.219389,6099.231610,10.016009,1.220502,3.376289
207.00000,-7682.195678,-32210.358949,6309.095162,9.919899,1.707077,3.618583
208.00000,-7090.792469,-32093.517634,6533.375726,9.787439,2.186151,3.856654
209.00000,-6508.410923,-31948.211484,6771.784061,9.619307,2.655532,4.089314
210.00000,-5937.166496,-31775.086601,7023.960853,9.416352,3.113076,4.315401
211.00000,-5379.119087,-31574.916121,7289.477413,9.179590,3.556696,4.533783
212.00000,-4836.262613,-31348.596431,7567.838357,8.910201,3.984372,4.743363
213.00000,-4310.515638,-31097.142921,7858.483624,8.609518,4.394161,4.943088
214.00000,-3803.711703,-30821.684993,8160.791770,8.279028,4.784205,5.131951
215.00000,-3317.591299,-30523.460755,8474.081958,7.920358,5.152741,5.308996
216.00000,-2853.793059,-30203.810965,8797.617835,7.535271,5.498111,5.473324
217.00000,-2413.845948,-29864.172625,9130.610875,7.125657,5.818767,5.624095
218.00000,-1999.161980,-29506.072057,9472.224131,6.693523,6.113282,5.760536
219.00000,-1611.029453,-29131.117554,9821.576230,6.240983,6.380352,5.881941
220.00000,-1250.606804,-28740.991636,10177.745570,5.770251,6.618806,5.987674
221.00000,-918.917052,-28337.442961,10539.774717,5.283625,6.827612,6.077177
222.00000,-616.842870,-27922.277920,10906.674976,4.783482,7.005879,6.149968
223.00000,-345.122450,-27497.351924,11277.431112,4.272260,7.152865,6.205644
224.00000,-104.345950,-27064.560484,11651.006192,3.752452,7.267976,6.243885
225.00000,105.047345,-26625.830105,12026.346546,3.226592,7.350772,6.264454
226.00000,282.771008,-26183.108987,12402.386792,2.697241,7.400970,6.267197
227.00000,428.692918,-25738.357683,12778.054932,2.166976,7.418443,6.252046
228.00000,542.835747,-25293.539639,13152.277471,1.638379,7.403221,6.219021
229.00000,625.377088,-24850.611729,13523.984708,1.114024,7.355490,6.168224
230.00000,676.647817,-24411.514992,13892.115203,0.596461,7.275597,6.099843
231.00000,697.131460,-23978.165048,14255.621816,0.088210,7.164038,6.014149
232.00000,687.461360,-23552.443007,14613.476221,-0.408258,7.021465,5.911499
233.00000,648.417058,-23136.186554,14964.673353,-0.890526,6.848677,5.792328
234.00000,580.921517,-22731.180849,15308.237151,-1.356249,6.646622,5.657150
235.00000,486.036176,-22339.150063,15643.224766,-1.803159,6.416383,5.506557
236.00000,364.955116,-21961.749255,15968.730509,-2.229083,6.159184,5.341213
237.00000,219.000691,-21600.556054,16283.891375,-2.631948,5.876376,5.161854
238.00000,49.615644,-21257.063448,16587.889928,-3.009791,5.569432,4.969282
239.00000,-141.642597,-20932.672263,16879.959280,-3.360774,5.239945,4.764361
240.00000,-353.110603,-20628.684793,17159.385715,-3.683185,4.889611,4.548015
241.00000,-583.025963,-20346.298143,17425.513118,-3.975454,4.520231,4.321223
242.00000,-829.536780,-20086.598900,17677.745070,-4.236153,4.133694,4.085013
